name,section,subsection,url,repo,path,ref,author,tag,stars,license,archived,pushed_at,skills,mcp_component,root_plugin_json,open_agent_plugins_schema,open_schema_paths,open_schema_in_pinned_repo,ships_grok,ships_cursor,ships_claude,ships_codex,marketplace_pinned,manifests_established,first_seen,description
grok-bot-info,Grok Bot guides and tutorials,,https://github.com/Uncle-Gizmo/grok-bot-info,Uncle-Gizmo/grok-bot-info,,main,Uncle-Gizmo,guide,0,,false,2026-08-11T22:34:18Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"public notes on what Grok Bot is for, safe example workflows, and how it fits alongside Grok Build and Grok Heavy."
grok-bot-intro-v2,Grok Bot guides and tutorials,,https://github.com/520xiaomumu/grok-bot-intro-v2,520xiaomumu/grok-bot-intro-v2,,main,520xiaomumu,guide,0,,false,2026-08-12T13:41:03Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,12-chapter Chinese-language autoplay intro deck.
agentcouch,Grok Bot plugins and MCP servers,,https://github.com/stoyan-stoyanov/agentcouch-plugins,stoyan-stoyanov/agentcouch-plugins,,main,AgentCouch,production,0,MIT,false,2026-08-30T15:21:30Z,2,true,true,true,plugin.json,,false,true,true,true,false,true,2026-08-31,hosted messaging rooms for Grok Bot to talk with other people's agents across clients and machines.
axiom,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/axiomhq/skills,axiomhq/skills,,0e98ebaeec76a70c8fda9a7737605800c2f1245d,Axiom,production,15,MIT,false,2026-07-14T08:52:21Z,7,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"query logs and metrics in APL, run SRE investigations, build dashboards and manage monitors."
base44,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/base44/skills,base44/skills,,0d3b72a76e91d920f4a151b68dd224510ca5dc14,Base44,production,88,MIT,false,2026-08-31T11:16:50Z,9,false,false,false,,false,false,true,true,true,true,true,2026-08-31,build and deploy Base44 full-stack apps through the CLI and the JavaScript/TypeScript SDK.
browser-use,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/browser-use/plugins,browser-use/plugins,grok,4749bcbfe456e5384b98281a8a66119352197f59,Browser Use,production,15,,false,2026-08-28T03:23:49Z,1,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"give the Bot a real browser, either the user's own Chrome with its logins or an isolated cloud one."
campfiresms-grok-bot,Grok Bot plugins and MCP servers,,https://github.com/campfiresms/campfiresms-grok-bot,campfiresms/campfiresms-grok-bot,,main,CampfireSMS,beta,0,MIT,false,2026-08-28T15:04:11Z,1,true,false,false,,,false,true,false,false,false,true,2026-08-31,"hosted SMS bridge over five MCP tools plus a safety skill, on one revocable phone-bound credential."
chrome-devtools,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/ChromeDevTools/chrome-devtools-mcp,ChromeDevTools/chrome-devtools-mcp,,45f187b1e3202c9f32ddba913be5d68751c3caa3,Chrome DevTools,production,50250,Apache-2.0,false,2026-08-31T11:42:09Z,6,false,false,false,,false,false,true,true,false,true,true,2026-08-31,"drive and inspect a live Chrome: performance traces, network requests, source-mapped console errors."
cloudflare,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/cloudflare/skills,cloudflare/skills,,60147cbb773649eadca89cee92b4e0caf02234b4,Cloudflare,production,2747,Apache-2.0,false,2026-08-07T17:44:39Z,8,true,false,false,,false,false,true,true,false,true,true,2026-08-31,"manage Workers, KV, R2, DNS and deployments from the agent."
exa,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/exa-labs/exa-grok-plugin,exa-labs/exa-grok-plugin,,879fae0c814765c43f39ea8f56aae1d44e9d9bc8,Exa,production,1,,false,2026-07-27T17:42:27Z,1,true,false,false,,false,true,false,false,false,true,true,2026-08-31,real-time web search that reads the pages it finds and answers with current sources.
figma,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/figma/mcp-server-guide,figma/mcp-server-guide,,7f6562c4900fafb46e5e8fd3cc8ced954779bab3,Figma,production,1940,,false,2026-08-20T20:45:04Z,14,true,false,false,,false,false,true,true,false,true,true,2026-08-31,"read designs, variables and components straight out of Figma files."
firecrawl,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/firecrawl/firecrawl-grok-plugin,firecrawl/firecrawl-grok-plugin,,af6c6c083ccfd74ae476761068ee4311a56e8282,Firecrawl,production,9,,false,2026-08-28T09:47:15Z,10,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"turn any site into clean markdown or structured data: search, scrape, map, crawl and extract."
GrokBotfun,Grok Bot plugins and MCP servers,,https://github.com/GrokBotfun/GrokBotfun,GrokBotfun/GrokBotfun,,main,GrokBotfun,experimental,0,,false,2026-08-11T23:14:33Z,0,true,false,false,,,false,true,false,false,false,true,2026-08-31,"deploy pump.fun tokens from your agent; ships an MCP server plus a Cursor-marketplace-format plugin (not the open agent-plugins.org spec, despite the repo description)."
imagine-mcp,Grok Bot plugins and MCP servers,,https://github.com/Archive228/imagine-mcp,Archive228/imagine-mcp,,main,Archive228,beta,0,MIT,false,2026-08-26T11:56:31Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"remote MCP for xAI image, video and speech generation that returns a persistent blob URL and a per-call cost receipt."
mcp-fetch-worker,Grok Bot plugins and MCP servers,,https://github.com/jkpe/mcp-fetch-worker,jkpe/mcp-fetch-worker,,main,jkpe,beta,1,,false,2026-08-24T15:45:54Z,0,false,false,false,,,false,false,false,false,false,true,2026-08-31,"one `http_fetch` MCP tool behind Cloudflare Access, so a Bot reaches your self-hosted APIs on a scoped token you can revoke."
mongodb,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/mongodb/agent-skills/tree/HEAD/plugins/mongodb,mongodb/agent-skills,plugins/mongodb,b4ea8150a020b9babaddc6c271c6dc177c06a83f,MongoDB,production,181,Apache-2.0,false,2026-08-31T12:18:08Z,14,true,false,false,,false,true,true,true,true,true,true,2026-08-31,connect any self-managed MongoDB deployment through its own MCP server using your connection string.
mongodb-atlas,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/mongodb/agent-skills/tree/HEAD/plugins/mongodb-atlas,mongodb/agent-skills,plugins/mongodb-atlas,b4ea8150a020b9babaddc6c271c6dc177c06a83f,MongoDB,production,181,Apache-2.0,false,2026-08-31T12:18:08Z,12,true,false,false,,false,true,true,true,true,true,true,2026-08-31,"the managed Atlas half: sign in to explore data and manage clusters, projects, users and network access."
neon,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/xai-org/plugin-marketplace/tree/HEAD/external_plugins/neon,xai-org/plugin-marketplace,external_plugins/neon,HEAD,Neon,production,200,,false,2026-08-30T15:12:35Z,3,true,false,false,,false,true,false,false,false,true,true,2026-08-31,"Neon Serverless Postgres: manage projects and databases, pick a connection method, branch for migration testing."
netlify,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/netlify/context-and-tools,netlify/context-and-tools,,32a261b6b2437464aca7e51bf9b48bcac1e2835c,Netlify,production,36,MIT,false,2026-08-27T15:12:58Z,46,true,false,true,agent-plugin/plugin.json,true,true,true,true,false,true,true,2026-08-31,"serverless and edge functions, Blobs storage, managed Postgres, forms, caching and the Netlify CLI."
nexfade-grok-plugin,Grok Bot plugins and MCP servers,,https://github.com/NexFade/nexfade-grok-plugin,NexFade/nexfade-grok-plugin,,main,NexFade,beta,0,MIT,false,2026-08-30T16:20:28Z,1,true,false,false,,,true,false,false,false,false,true,2026-08-31,one-time encrypted share links: the file is encrypted on the Bot's computer and only ciphertext leaves it.
orgx-grokbot-plugin,Grok Bot plugins and MCP servers,,https://github.com/useorgx/orgx-grokbot-plugin,useorgx/orgx-grokbot-plugin,,main,OrgX,beta,0,MIT,false,2026-08-11T23:52:53Z,3,true,false,false,,,true,true,false,false,false,true,2026-08-31,"OrgX MCP wiring, initiative-aware skills and specialist agent packs, packaged in Cursor's `.grok-plugin` manifest format."
pstack,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/cursor/plugins/tree/HEAD/pstack,cursor/plugins,pstack,bdf7aa355337897f167153e05069aca505dae17c,Cursor,production,6322,,false,2026-08-30T19:32:38Z,47,false,false,false,,false,false,true,false,false,true,true,2026-08-31,"agent playbooks for investigation, design, review, verification and parallel subagent work."
railway,Grok Bot plugins and MCP servers,Official xAI plugin marketplace,https://github.com/railwayapp/railway-skills/tree/HEAD/plugins/railway,railwayapp/railway-skills,plugins/railway,5d1e97178f86c82795d6737928bd641e0552166a,Railway,production,319,MIT,false,2026-08-12T23:00:57Z,1,true,false,false,,false,true,true,true,true,true,true,2026-08-31,"deploy services, read build logs and manage environment variables."
recallsmith,Grok Bot plugins and MCP servers,,https://github.com/koreysmith123/recallsmith,koreysmith123/recallsmith,,main,koreysmith123,experimental,0,MIT,false,2026-08-31T04:56:29Z,2,true,false,true,.cursor-plugin/plugin.json,,true,true,false,false,false,true,2026-08-31,"private experiential memory per Bot on local embeddings and pgvector, installed by handing a new Bot the repo URL."
